player_id,player_name,n_press,n_rows,participation_total,participation_per_press,participation_rank,distance_total,distance_per_press,distance_rank,check_total,check_per_press,check_rank,position
bb2c81a7-ec5a-c3c3-28e2-077918bc20a3,"Jones, Nick",214.0,,-0.2725296580600133,-0.0012735030750467,574.0,-2.1095308414221687,-0.0103408374579518,635.0,0.3812250722368555,0.0190612536118427,310.0,F
e2214881-b6b0-b1c9-6e83-a6b289c4f33f,"Primeau, Mason",131.0,445.0,0.0192428471737617,0.0001468919631584,519.0,3.0209317701669676,0.0241674541613357,191.0,2.242725376648287,0.0188464317365402,311.0,F
3d5bcc97-ee74-7ffb-a3c3-9bb7facf831f,"Kirkland, Justin",114.0,435.0,0.2128529890672252,0.0018671314830458,451.0,2.0184230319433554,0.0186891021476236,247.0,1.91888977403178,0.0188126448434488,312.0,C
78821ac8-2fb6-cafd-71d8-bf5d718e6703,"Matteau, Stefan",62.0,271.0,0.9508408932309842,0.0153361434392094,96.0,1.6806510616483967,0.0271072751878773,153.0,1.215305898359303,0.0186970138209123,313.0,LW
fcc211ea-3d12-1067-28c0-3465b4cb586d,"Hajek, Libor",32.0,41.0,-0.1442754128867177,-0.0045086066527099,689.0,-0.3380758676216558,-0.0109056731490856,647.0,0.3728475403175478,0.0186423770158773,314.0,D
a23408ce-f1c0-03b6-d7ef-60da484f7212,"Nylander, Alexander",140.0,330.0,0.3331484066061879,0.0023796314757584,436.0,2.948499467771711,0.0303969017296052,125.0,1.637084314544584,0.0186032308470975,315.0,RW
8dfc4cd9-4bed-d27e-f82a-aac7483571b8,"Stankoven, Logan",152.0,589.0,1.2981018841591072,0.0085401439747309,211.0,0.2494259908623581,0.0016853107490699,417.0,2.608690444841739,0.0185013506726364,316.0,C
3fa9dd4a-efae-a4f4-e00c-d5885556b815,"Meyers, Ben",68.0,255.0,1.1720062805303562,0.0172353864783875,82.0,2.959296413651228,0.044837824449261,45.0,1.0522579455247092,0.0184606657109598,317.0,C
0ac29755-f1de-15b2-904e-d17a9ed4fac8,"Fleury, Cale",252.0,550.0,2.023378692719238,0.0080292805266636,240.0,0.6508184942376823,0.0027117437259903,408.0,3.2776713737386656,0.0184138841221273,318.0,D
bc2abfcb-4444-082a-2f24-73a1a10338f5,"Biro, Brandon",188.0,655.0,0.8845522214468486,0.004705065007696,349.0,5.206845048603252,0.0299243968310531,131.0,3.0145795052431508,0.0183815823490436,319.0,F
